Rank,Title,Year,Rating,Runtime,Genre,User Rating,Metacritic
"1,368",Luna Park,, , ,"Action, Adventure, Sci-Fi", ,
"1,369",Critters 3,1991,PG-13,86 min,"Comedy, Horror, Sci-Fi",4.5,
"1,370",Poison,1991,R,85 min,"Drama, Horror, Romance",6.4,67
"1,371",Friendship's Death,1987, ,78 min,"Drama, Sci-Fi",6.2,
"1,372",LX 2048,2020, ,103 min,"Drama, Sci-Fi",4.8,61
"1,373",G.O.R.A.,2004, ,127 min,"Adventure, Comedy, Sci-Fi",8.0,
"1,374",It's Alive,1974,PG,91 min,"Horror, Sci-Fi",5.8,72
"1,375",Kafka,1991,PG-13,98 min,"Drama, Mystery, Sci-Fi",6.9,46
"1,376",Triassic Hunt,2021,Not Rated,86 min,"Action, Horror, Sci-Fi",2.4,
"1,377",2047: Virtual Revolution,2016, ,92 min,"Action, Crime, Sci-Fi",5.1,
"1,378",Shakma,1990,R,100 min,"Horror, Sci-Fi, Thriller",5.0,
"1,379",The Time Travelers,1964,Approved,84 min,Sci-Fi,5.1,
"1,380",Beastmaster 2: Through the Portal of Time,1991,PG-13,107 min,"Action, Adventure, Fantasy",4.1,
"1,381",Smilla's Sense of Snow,1997,R,121 min,"Crime, Drama, Mystery",6.4,45
"1,382",Sssssss,1973,PG,99 min,"Horror, Sci-Fi",5.4,
"1,383",The Three-Body Problem: I,, , ,"Mystery, Sci-Fi, Thriller", ,
"1,384",The Monster Project,2017, ,99 min,"Action, Fantasy, Horror",4.5,
"1,385",La terra dei figli,2021, ,120 min,"Drama, Sci-Fi",7.1,
"1,386",Hangar 18,1980,PG,97 min,Sci-Fi,5.3,
"1,387",Infinity Pool,, , ,"Sci-Fi, Thriller", ,
"1,388",Hard Boiled,, , ,"Drama, Sci-Fi", ,
"1,389",Gandahar,1987,PG,78 min,"Animation, Adventure, Fantasy",7.1,
"1,390",Évolution,2015,Not Rated,81 min,"Drama, Horror, Mystery",5.9,77
"1,391",Infinity Chamber,2016, ,103 min,"Sci-Fi, Thriller",6.3,
"1,392",Voyage to the Bottom of the Sea,1961,PG,105 min,"Action, Adventure, Sci-Fi",6.1,
"1,393",Space Oddity,, , ,"Comedy, Romance, Sci-Fi", ,
"1,394",At First Light,I 2018,TV-14,90 min,"Drama, Sci-Fi, Thriller",5.5,49
"1,395",Battle of the Damned,2013,R,88 min,"Action, Adventure, Horror",4.5,
"1,396",Swan Song,I 2021, , ,"Drama, Sci-Fi", ,
"1,397",Creature,1985,R,97 min,"Horror, Sci-Fi",4.3,
"1,398",Mutafukaz,2017,R,94 min,"Animation, Action, Comedy",6.7,48
"1,399",Storage 24,2012,R,87 min,"Action, Horror, Mystery",4.5,52
"1,400",Citizen Toxie: The Toxic Avenger IV,2000,R,109 min,"Action, Comedy, Fantasy",6.1,41
"1,401",The Thinning: New World Order,2018, ,89 min,"Action, Drama, Horror",4.0,
"1,402",Belle: Ryu to Sobakasu no Hime,2021, ,122 min,"Animation, Adventure, Drama", ,
"1,403",Hot Bot,2016,Not Rated,86 min,"Comedy, Sci-Fi",3.4,
"1,404",Little America,II, , ,"Action, Adventure, Sci-Fi", ,
"1,405",Millennium,1989,PG-13,108 min,"Drama, Sci-Fi, Thriller",5.8,26
"1,406",The Running Man,, , ,Sci-Fi, ,
"1,407",Quatermass and the Pit,1967,Approved,97 min,"Horror, Mystery, Sci-Fi",7.0,
"1,408",Daylight's End,2016,Not Rated,105 min,"Action, Fantasy, Horror",5.4,
"1,409",Thunderpants,2002,PG,87 min,"Comedy, Family, Sci-Fi",3.8,
"1,410",Mars Needs Moms,2011,PG,88 min,"Animation, Action, Adventure",5.4,49
"1,411",Distant,, , ,"Comedy, Sci-Fi", ,
"1,412",Sword Art Online the Movie: Ordinal Scale,2017,TV-14,119 min,"Animation, Action, Adventure",7.4,
"1,413",Extraterrestrial,2014,Not Rated,101 min,"Action, Horror, Mystery",5.0,38
"1,414",Clara,III 2018,Not Rated,105 min,Sci-Fi,6.7,43
"1,415",Tarantula,1955,Approved,80 min,"Horror, Sci-Fi",6.5,
"1,416",Kidô Senshi Gundam: Gyakushû no Shâ,1988, ,124 min,"Animation, Action, Drama",7.4,
"1,417",Far Cry,2008,R,95 min,"Action, Adventure, Sci-Fi",3.1,
"1,418",Colossus: The Forbin Project,1970,M,100 min,"Sci-Fi, Thriller",7.1,
"1,419",What Planet Are You From?,2000,R,105 min,"Comedy, Sci-Fi",5.6,41
"1,420",Hypnotic,, , ,"Animation, Action, Comedy", ,
"1,421",Amazons,1986,PG,76 min,"Action, Fantasy, Adventure",4.4,
"1,422",Don't Speak,2020, ,83 min,"Horror, Sci-Fi, Thriller",3.3,
"1,423",Gremlins 3,, , ,"Comedy, Fantasy, Horror", ,
"1,424",Detention,2011,R,93 min,"Comedy, Horror, Mystery",5.7,45
"1,425",Parasyte: Part 1,2014, ,109 min,"Action, Drama, Horror",6.9,
"1,426",Stand by Me Doraemon 2,2020,Not Rated,96 min,"Animation, Comedy, Drama",8.1,
"1,427",Arena Wars,, , ,"Action, Sci-Fi, Thriller", ,
"1,428",1982,I 2019, ,100 min,"Drama, History, Romance",6.3,56
"1,429",1990: The Bronx Warriors,1982,R,89 min,"Action, Sci-Fi, Thriller",5.3,
"1,430",Nightflyers,1987,R,89 min,"Horror, Mystery, Sci-Fi",4.2,
"1,431",Bullets of Justice,2019,TV-MA,79 min,"Action, Comedy, Horror",4.5,
"1,432",Moontrap,1989,R,92 min,"Horror, Sci-Fi",4.9,
"1,433",Flesh for Frankenstein,1973,R,95 min,"Horror, Sci-Fi",5.8,
"1,434",Return of the Killer Tomatoes!,1988,PG,98 min,"Comedy, Horror, Sci-Fi",5.2,
"1,435",The Nest,1987,R,89 min,"Horror, Sci-Fi",5.3,
"1,436",The Food of the Gods,1976,PG,88 min,"Adventure, Horror, Sci-Fi",4.6,
"1,437",Doghouse,2009,Not Rated,89 min,"Comedy, Horror, Sci-Fi",6.0,
"1,438",Let Her Out,2016,Unrated,89 min,"Horror, Sci-Fi, Thriller",4.5,
"1,439",Frogs,1972,PG,91 min,"Horror, Mystery, Sci-Fi",4.4,51
"1,440",Prey,I 2007,TV-MA,92 min,"Adventure, Drama, Horror",4.7,
"1,441",Sound of My Voice,2011,R,85 min,"Drama, Mystery, Sci-Fi",6.6,67
"1,442",Don't Blink,2014,Not Rated,92 min,"Fantasy, Horror, Mystery",4.8,
"1,443",Rememory,2017,PG-13,111 min,"Drama, Mystery, Sci-Fi",6.2,48
"1,444",2.0,2018,Not Rated,148 min,"Action, Sci-Fi",6.2,
"1,445",Starship Troopers: Invasion,2012,R,89 min,"Animation, Action, Sci-Fi",5.8,
"1,446",The Powerpuff Girls Movie,2002,PG,73 min,"Animation, Action, Adventure",6.6,65
"1,447",2050,III 2020, ,106 min,"Drama, Fantasy, Sci-Fi",3.7,
"1,448",Mutant Chronicles,2008,R,111 min,"Action, Adventure, Mystery",5.2,
"1,449",The Blood of Heroes,1989,R,90 min,"Action, Sci-Fi, Sport",6.5,
"1,450",First Men in the Moon,1964,Not Rated,103 min,"Adventure, Sci-Fi",6.6,
"1,451",Harlock: Space Pirate,2013,Not Rated,115 min,"Animation, Adventure, Sci-Fi",6.4,
"1,452",The Returned,2013, ,98 min,"Action, Adventure, Crime",5.9,47
"1,453",Escape from Tomorrow,2013,Not Rated,90 min,"Drama, Fantasy, Horror",5.1,58
"1,454",Inuyashiki,2018,Not Rated,127 min,"Action, Drama, Mystery",6.6,
"1,455",Ghost in the Shell 2: Innocence,2004,PG-13,100 min,"Animation, Action, Drama",7.5,66
"1,456",Justice League vs the Fatal Five,2019,PG-13,77 min,"Animation, Action, Fantasy",6.5,
"1,457",Green Lantern Corps,, , ,"Action, Adventure, Sci-Fi", ,
"1,458",Village of the Damned,1960,Not Rated,77 min,"Horror, Sci-Fi",7.3,77
"1,459",The History of Future Folk,2012,Not Rated,86 min,"Comedy, Music, Sci-Fi",7.2,67
"1,460",The Place Promised in Our Early Days,2004,TV-PG,90 min,"Animation, Drama, Romance",7.0,
